place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category,data_quality_score
Khaptad Grassland,29.3,81.1,Bajura,6.0,14.0,8.0,2.0,9.0,0,0,0,95.0,90.0,93.0,High,100.0
Khaptad Lake,29.28,81.1,Bajura,5.0,12.0,5.0,3.0,8.0,0,0,0,90.0,85.0,87.0,High,100.0
Khaptad National Park,29.3,81.1,Bajura,6.0,14.0,8.0,2.0,9.0,0,0,0,95.0,90.0,93.0,High,100.0
Khaptad Trekking Camp,29.3,81.1,Bajura,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Kolti Airport Area,29.5,81.15,Bajura,5.0,7.0,0.0,4.0,6.0,15,10,3,55.0,55.0,60.0,Medium,100.0
Kolti Mountain Trail,29.5,81.15,Bajura,8.0,12.0,5.0,3.0,7.0,5,5,2,70.0,75.0,78.0,High,100.0
Kolti Rural Camp,29.25,81.6,Bajura,7.0,12.0,3.0,10.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Kolti Rural Settlement,29.25,81.65,Bajura,4.0,8.0,0.0,8.0,6.0,20,15,5,50.0,65.0,68.0,High,100.0
Kolti Village,29.55,81.65,Bajura,3.0,8.0,1.0,3.0,7.0,0,1,0,90.0,70.0,78.0,High,100.0
Kolti Village Trail,29.25,81.6,Bajura,7.0,12.0,3.0,10.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Martadi Bazaar,29.45,81.48,Bajura,2.0,6.0,0.0,4.0,6.0,1,2,0,85.0,60.0,70.0,High,100.0
Martadi Rural Route,29.45,81.6,Bajura,5.0,9.0,2.0,7.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Martadi Rural Viewpoint,29.42,81.25,Bajura,3.0,5.0,0.0,8.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Martadi View Point,29.4,81.25,Bajura,3.0,5.0,0.0,5.0,5.0,30,25,10,35.0,45.0,50.0,Medium,100.0
Martadi Village Trail,29.45,81.6,Bajura,5.0,9.0,2.0,7.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Masta Temple Bajura,29.5,81.4,Bajura,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Nagdaha Bajura,29.65,81.45,Bajura,5.0,12.0,6.0,3.0,8.0,0,1,0,95.0,90.0,93.0,High,100.0
Swamikartik Rural Area,29.55,81.3,Bajura,6.0,10.0,3.0,6.0,7.0,10,8,3,65.0,75.0,78.0,High,100.0
Banke Forest Route,28.1,81.75,Banke,5.0,2.0,0.0,10.0,3.0,20,20,5,25.0,45.0,50.0,Medium,100.0
Banke Forest Safari Route,28.1,81.75,Banke,5.0,2.0,0.0,10.0,3.0,20,20,5,25.0,45.0,50.0,Medium,100.0
Banke Forest Tourism Trail,28.1,81.6,Banke,3.0,3.0,0.0,18.0,4.0,70,60,25,5.0,25.0,30.0,Low,100.0
Banke National Park,28.1,81.75,Banke,5.0,2.0,0.0,10.0,3.0,20,20,5,25.0,45.0,50.0,Medium,100.0
Banke National Park Trail,28.1,81.75,Banke,4.0,1.0,0.0,10.0,3.0,30,25,10,20.0,45.0,45.0,Medium,100.0
Banke Rural Forest Trail,28.1,81.65,Banke,4.0,1.0,0.0,15.0,4.0,70,60,25,20.0,30.0,35.0,Medium,100.0
Kohalpur Forest,28.15,81.68,Banke,3.0,2.0,0.0,12.0,3.0,50,40,15,15.0,40.0,42.0,Medium,100.0
Kohalpur Forest Area,28.15,81.68,Banke,3.0,2.0,0.0,12.0,3.0,50,40,15,15.0,40.0,42.0,Medium,100.0
Kohalpur Rural Route,28.15,81.65,Banke,2.0,3.0,0.0,20.0,3.0,80,70,30,5.0,20.0,25.0,Low,100.0
Nepalgunj Bageshwori,28.05,81.62,Banke,1.0,1.0,0.0,10.0,4.0,90,70,25,5.0,35.0,32.0,Low,100.0
Nepalgunj Heritage Area,28.05,81.62,Banke,1.0,0.0,0.0,6.0,2.0,35,30,8,10.0,15.0,12.0,Low,100.0
Nepalgunj Tourism Area,28.05,81.62,Banke,1.0,0.0,0.0,8.0,2.0,35,30,8,10.0,20.0,15.0,Low,100.0
Nepalgunj Wetland Area,28.05,81.62,Banke,1.0,0.0,0.0,12.0,2.0,70,60,20,5.0,30.0,32.0,Low,100.0
Rapti River Area,28.1,81.6,Banke,4.0,0.0,0.0,14.0,3.0,8,6,2,60.0,65.0,62.0,Medium,100.0
Rapti Riverside Route,28.05,81.8,Banke,5.0,2.0,0.0,22.0,5.0,40,30,10,40.0,50.0,60.0,High,100.0
Bara Gadhimai Area,27.05,85.0,Bara,1.0,0.0,0.0,10.0,2.0,25,20,5,20.0,30.0,25.0,Low,100.0
Gadhimai Temple,26.95,85.55,Bara,1.0,0.0,0.0,10.0,2.0,25,20,5,25.0,30.0,27.0,Low,100.0
Simara Airport Area,27.16,84.98,Bara,1.0,0.0,0.0,7.0,2.0,30,25,8,10.0,15.0,12.0,Low,100.0
Simara Tourism Area,27.16,84.98,Bara,1.0,0.0,0.0,7.0,2.0,30,25,8,10.0,15.0,12.0,Low,100.0
Simraungadh Historical Area,27.0,85.1,Bara,1.0,0.0,0.0,8.0,3.0,15,12,3,30.0,30.0,30.0,Low,100.0
Bardia Tiger Camp,28.4,81.3,Bardia,5.0,1.0,0.0,10.0,3.0,25,30,10,25.0,45.0,48.0,Medium,100.0
Thakurdwara Safari Route,28.42,81.32,Bardia,3.0,1.0,0.0,10.0,3.0,20,20,5,30.0,40.0,42.0,Medium,100.0
Babai River Area,28.3,81.4,Bardiya,5.0,0.0,0.0,15.0,3.0,5,4,1,70.0,70.0,70.0,High,100.0
Babai River Safari,28.35,81.4,Bardiya,4.0,0.0,0.0,15.0,2.0,8,6,2,60.0,65.0,62.0,Medium,100.0
Babai Riverside Camp,28.3,81.4,Bardiya,6.0,5.0,0.0,20.0,5.0,40,30,10,30.0,45.0,50.0,Medium,100.0
Babai Valley,28.35,81.4,Bardiya,4.0,0.0,0.0,15.0,2.0,8,6,2,60.0,65.0,62.0,Medium,100.0
Babai Valley Rural Area,28.25,81.7,Bardiya,3.0,1.0,0.0,18.0,3.0,60,50,20,25.0,35.0,40.0,Medium,100.0
Babai Valley Rural Route,28.3,81.4,Bardiya,6.0,5.0,0.0,20.0,5.0,40,30,10,30.0,45.0,50.0,Medium,100.0
Bardia Jungle Safari,28.45,81.45,Bardiya,3.0,0.0,0.0,10.0,2.0,10,8,2,45.0,45.0,45.0,Medium,100.0
Bardia Karnali River,28.35,81.3,Bardiya,5.0,0.0,0.0,18.0,3.0,5,4,1,70.0,75.0,73.0,High,100.0
Bardia National Park,28.45,81.3,Bardiya,5.0,1.0,0.0,15.0,2.0,5,5,1,60.0,50.0,55.0,Medium,100.0
Bardia National Park Core,28.45,81.35,Bardiya,3.0,0.0,0.0,10.0,2.0,10,8,2,45.0,50.0,48.0,Medium,100.0
Bardia River Camp,28.4,81.3,Bardiya,4.0,0.0,0.0,15.0,2.0,8,6,2,60.0,60.0,60.0,Medium,100.0
Bardia River Side,28.45,81.25,Bardiya,3.0,0.0,0.0,15.0,3.0,8,6,2,55.0,60.0,58.0,Medium,100.0
Bardia Rural Jungle Route,28.3,81.35,Bardiya,5.0,1.0,0.0,25.0,4.0,40,30,10,40.0,45.0,55.0,Medium,100.0
Bardia Thakurdwara,28.45,81.3,Bardiya,2.0,0.0,0.0,8.0,2.0,15,12,3,35.0,40.0,38.0,Medium,100.0
Bardia Tiger Camp,28.45,81.3,Bardiya,4.0,1.0,0.0,15.0,2.0,4,4,1,70.0,55.0,61.0,Medium,100.0
Bardia Visitor Center,28.45,81.31,Bardiya,2.0,1.0,0.0,12.0,2.0,8,6,2,40.0,40.0,40.0,Medium,100.0
Bardia Wildlife Camp,28.45,81.35,Bardiya,4.0,0.0,0.0,10.0,2.0,10,8,2,50.0,50.0,50.0,Medium,100.0
Bardiya Karnali Camp,28.45,81.3,Bardiya,6.0,2.0,0.0,15.0,3.0,20,20,5,35.0,55.0,60.0,Medium,100.0
Bardiya Karnali Corridor,28.6,81.2,Bardiya,4.0,2.0,0.0,12.0,3.0,4,5,1,55.0,55.0,55.0,Medium,100.0
Bardiya Karnali River,28.45,81.3,Bardiya,5.0,2.0,0.0,15.0,3.0,20,20,5,35.0,55.0,60.0,Medium,100.0
Bardiya National Park,28.4,81.3,Bardiya,4.0,0.0,0.0,12.0,2.0,10,8,2,45.0,45.0,45.0,Medium,100.0
Bardiya National Park East,28.4,81.3,Bardiya,6.0,1.0,0.0,10.0,3.0,25,30,10,25.0,45.0,48.0,Medium,100.0
Bardiya Rural Jungle Trail,28.35,81.35,Bardiya,5.0,4.0,0.0,15.0,4.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Bardiya Tharu Museum,28.4,81.3,Bardiya,1.0,0.0,0.0,6.0,2.0,20,15,5,15.0,20.0,17.0,Low,100.0
Bardiya Tiger Area,28.4,81.3,Bardiya,3.0,0.0,0.0,10.0,2.0,12,10,3,40.0,45.0,42.0,Medium,100.0
Bardiya Tiger Corridor,28.35,81.35,Bardiya,5.0,4.0,0.0,15.0,4.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Blackbuck Conservation Area,28.3,81.3,Bardiya,4.0,1.0,0.0,10.0,3.0,30,25,10,20.0,45.0,45.0,Medium,100.0
Karnali Bridge Area,28.45,81.3,Bardiya,4.0,2.0,0.0,15.0,3.0,25,20,5,35.0,50.0,52.0,Medium,100.0
Karnali Chisapani Bridge,28.65,81.25,Bardiya,4.0,0.0,0.0,15.0,3.0,5,4,1,70.0,70.0,70.0,High,100.0
Karnali Riverside Camp,28.5,81.4,Bardiya,6.0,2.0,0.0,30.0,5.0,30,25,10,50.0,55.0,65.0,High,100.0
Thakurdwara Bardia,28.45,81.3,Bardiya,2.0,0.0,0.0,8.0,2.0,15,12,3,35.0,40.0,38.0,Medium,100.0
Thakurdwara Safari Point,28.45,81.3,Bardiya,2.0,0.0,0.0,8.0,2.0,15,12,3,35.0,40.0,38.0,Medium,100.0
Thakurdwara Village,28.53,81.3,Bardiya,3.0,1.0,0.0,14.0,2.0,5,4,1,65.0,50.0,56.0,Medium,100.0
Thakurdwara Village Route,28.45,81.25,Bardiya,4.0,3.0,0.0,18.0,3.0,60,50,20,10.0,30.0,35.0,Low,100.0
Thakurdwara Village Trail,28.45,81.35,Bardiya,4.0,1.0,0.0,20.0,3.0,50,40,15,30.0,40.0,45.0,Medium,100.0
Tharu Cultural Village,28.4,81.2,Bardiya,2.0,1.0,0.0,10.0,3.0,50,40,15,10.0,35.0,38.0,Medium,100.0
Tharu Village Bardiya,28.35,81.35,Bardiya,1.0,0.0,0.0,8.0,2.0,20,15,5,20.0,30.0,25.0,Low,100.0
Bhaktapur Durbar Square,27.672,85.4298,Bhaktapur,1.0,0.0,0.0,1.0,8.0,20,15,5,10.0,25.0,22.0,Low,100.0
Changu Narayan Rural Trail,27.72,85.43,Bhaktapur,1.0,2.0,0.0,3.0,4.0,70,50,20,5.0,20.0,25.0,Low,100.0
Changu Narayan Temple,27.72,85.43,Bhaktapur,1.0,1.0,0.0,2.0,4.0,20,15,5,15.0,15.0,15.0,Low,100.0
Changunarayan Rural Area,27.72,85.43,Bhaktapur,2.0,3.0,0.0,5.0,3.0,80,70,25,5.0,15.0,20.0,Low,100.0
Changunarayan Rural Path,27.72,85.43,Bhaktapur,2.0,3.0,0.0,5.0,3.0,80,70,25,5.0,15.0,20.0,Low,100.0
Changunarayan Temple,27.72,85.43,Bhaktapur,1.0,2.0,0.0,2.0,6.0,20,15,5,15.0,20.0,17.0,Low,100.0
Doleshwor Mahadev,27.65,85.43,Bhaktapur,1.0,1.0,0.0,3.0,4.0,30,25,8,15.0,20.0,17.0,Low,100.0
Nagarkot,27.715,85.52,Bhaktapur,2.0,2.0,0.0,3.0,5.0,15,10,2,20.0,30.0,28.0,Low,100.0
Nagarkot Rural Edge,27.73,85.52,Bhaktapur,1.0,2.0,0.0,3.0,3.0,80,60,20,5.0,15.0,20.0,Low,100.0
Nagarkot Rural View Trail,27.72,85.52,Bhaktapur,1.0,2.0,0.0,4.0,3.0,90,80,30,0.0,10.0,15.0,Low,100.0
Nagarkot Sunrise Trail,27.72,85.52,Bhaktapur,1.0,2.0,0.0,4.0,3.0,90,80,30,0.0,10.0,15.0,Low,100.0
Nagarkot Sunrise View,27.72,85.52,Bhaktapur,2.0,4.0,0.0,3.0,5.0,15,10,3,30.0,35.0,32.0,Low,100.0
Nagarkot View Tower,27.715,85.52,Bhaktapur,2.0,3.0,0.0,4.0,5.0,70,60,20,10.0,25.0,30.0,Low,100.0
Ranikot Hiking Trail,27.62,85.41,Bhaktapur,2.0,5.0,0.0,2.0,4.0,8,5,1,40.0,40.0,40.0,Medium,100.0
Ranikot View Point,27.62,85.41,Bhaktapur,2.0,5.0,0.0,2.0,4.0,8,5,1,40.0,40.0,40.0,Medium,100.0
Sanga View Point,27.675,85.43,Bhaktapur,2.0,4.0,0.0,3.0,5.0,20,15,5,35.0,35.0,35.0,Medium,100.0
Sanga View Tower,27.67,85.43,Bhaktapur,0.0,1.0,0.0,1.0,3.0,25,20,6,5.0,8.0,6.0,Low,100.0
Suryabinayak Forest,27.66,85.43,Bhaktapur,2.0,3.0,0.0,3.0,4.0,10,8,2,35.0,30.0,32.0,Medium,100.0
Aamchok Village Trail,27.2,87.05,Bhojpur,5.0,8.0,0.0,4.0,6.0,20,15,5,40.0,50.0,55.0,Medium,100.0
Amai Rural Trail,27.4,86.9,Bhojpur,7.0,10.0,4.0,2.0,6.0,5,5,2,65.0,60.0,65.0,Medium,100.0
Bhojpur Bazaar,27.17,87.05,Bhojpur,2.0,5.0,0.0,5.0,5.0,35,30,10,20.0,35.0,40.0,Medium,100.0
Bhojpur Mundum Trail,27.2,87.3,Bhojpur,10.0,15.0,5.0,3.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Bhojpur Salpa Route,27.4,87.1,Bhojpur,10.0,15.0,5.0,3.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Bhojpur Siddhakali,27.18,87.05,Bhojpur,1.0,3.0,0.0,3.0,4.0,8,6,2,35.0,30.0,32.0,Medium,100.0
Bhojpur Silichung Trail,27.15,87.05,Bhojpur,12.0,16.0,8.0,3.0,8.0,0,0,0,100.0,90.0,90.0,High,100.0
Bhojpur Taksar Village,27.15,87.05,Bhojpur,3.0,6.0,0.0,4.0,6.0,25,20,5,35.0,45.0,50.0,Medium,100.0
Dingla Cultural Trail,27.3,87.1,Bhojpur,3.0,5.0,0.0,5.0,5.0,30,25,10,30.0,40.0,45.0,Medium,100.0
Dingla Village,27.3,87.1,Bhojpur,3.0,6.0,0.0,4.0,5.0,25,20,5,35.0,45.0,50.0,Medium,100.0
Dingla Village Route,27.3,87.2,Bhojpur,5.0,8.0,2.0,4.0,6.0,20,15,5,50.0,60.0,65.0,High,100.0
Dobhane Village,27.25,87.05,Bhojpur,6.0,10.0,3.0,4.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Hatuwa Danda,27.25,87.25,Bhojpur,3.0,7.0,2.0,3.0,5.0,1,1,0,85.0,60.0,70.0,High,100.0
Hatuwa Gadhi Trail,27.0,87.15,Bhojpur,3.0,6.0,0.0,3.0,5.0,3,3,1,65.0,55.0,59.0,Medium,100.0
Hatuwa Hill,27.15,87.1,Bhojpur,5.0,8.0,0.0,4.0,6.0,20,15,5,45.0,55.0,60.0,Medium,100.0
Hatuwagadhi,27.0,87.15,Bhojpur,2.0,5.0,0.0,3.0,4.0,5,4,1,50.0,40.0,44.0,Medium,100.0
Hatuwagadhi Area,27.2,87.05,Bhojpur,3.0,7.0,1.0,4.0,6.0,2,2,0,75.0,65.0,69.0,High,100.0
Miklagarh View,27.3,87.1,Bhojpur,2.0,5.0,0.0,3.0,5.0,5,4,1,55.0,50.0,52.0,Medium,100.0
Milmke Danda,27.2,87.3,Bhojpur,4.0,10.0,4.0,2.0,6.0,1,1,0,90.0,75.0,81.0,High,100.0
Mundum Danda View,27.35,86.95,Bhojpur,4.0,10.0,4.0,2.0,6.0,1,1,0,90.0,80.0,84.0,High,100.0
Mundum Heritage Trail,27.2,87.3,Bhojpur,10.0,15.0,5.0,3.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Mundum Trail,27.4,87.0,Bhojpur,5.0,12.0,5.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Mundum Trail Bhojpur,27.4,87.0,Bhojpur,5.0,12.0,5.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Mundum Trail Upper,27.3,87.3,Bhojpur,14.0,18.0,10.0,1.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Panch Pokhari Bhojpur,27.2,87.2,Bhojpur,8.0,12.0,3.0,3.0,7.0,5,5,2,70.0,75.0,78.0,High,100.0
Salpa Lake Trail,27.4,86.9,Bhojpur,6.0,13.0,7.0,2.0,8.0,0,0,0,100.0,90.0,96.0,High,100.0
Salpa Pass Trail,27.45,86.95,Bhojpur,8.0,16.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Salpa Pokhari,27.35,86.95,Bhojpur,5.0,10.0,4.0,2.0,7.0,0,0,0,100.0,80.0,88.0,High,100.0
Salpa Pokhari Trail,27.4,87.1,Bhojpur,14.0,18.0,10.0,1.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Shadananda Area,27.25,87.15,Bhojpur,3.0,5.0,0.0,5.0,5.0,30,25,10,30.0,45.0,50.0,Medium,100.0
Shyamsila Rural Trail,27.3,87.0,Bhojpur,4.0,7.0,0.0,5.0,5.0,25,20,5,45.0,55.0,60.0,Medium,100.0
Silichung Base Route,27.15,87.1,Bhojpur,14.0,18.0,10.0,1.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Silichung Mountain,27.55,87.0,Bhojpur,10.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Silichung Mountain Route,27.55,87.0,Bhojpur,9.0,18.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Silichung Peak Route,27.15,87.1,Bhojpur,15.0,18.0,12.0,1.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Taksar Airport Area,27.17,87.05,Bhojpur,1.0,2.0,0.0,3.0,3.0,10,8,2,30.0,25.0,27.0,Low,100.0
Taksar Bazaar,27.17,87.05,Bhojpur,1.0,3.0,0.0,3.0,3.0,8,6,2,35.0,30.0,32.0,Medium,100.0
Temke Danda,27.3,86.95,Bhojpur,4.0,9.0,3.0,2.0,6.0,1,1,0,90.0,70.0,78.0,High,100.0
Temke Danda Route,27.3,86.95,Bhojpur,4.0,10.0,4.0,2.0,6.0,1,1,0,90.0,80.0,84.0,High,100.0
Temke Danda Summit,27.25,87.25,Bhojpur,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Temke Hill,27.3,86.95,Bhojpur,5.0,12.0,5.0,2.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Tiwari Bhanjyang Village,27.45,87.15,Bhojpur,6.0,10.0,3.0,3.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
20 Thousand Lake,27.62,84.45,Chitwan,2.0,1.0,0.0,10.0,2.0,8,6,2,35.0,40.0,38.0,Medium,100.0
Bharatpur Elephant Breeding Area,27.6,84.45,Chitwan,3.0,1.0,0.0,12.0,3.0,70,50,15,10.0,45.0,40.0,Medium,100.0
Bharatpur Lake Area,27.68,84.43,Chitwan,2.0,1.0,0.0,12.0,3.0,70,60,20,5.0,35.0,38.0,Medium,100.0
Bishazari Lake,27.6,84.45,Chitwan,1.0,0.0,0.0,12.0,2.0,10,8,2,30.0,40.0,34.0,Medium,100.0
Bishazari Wetland,27.6,84.42,Chitwan,2.0,0.0,0.0,12.0,2.0,15,12,3,40.0,45.0,42.0,Medium,100.0
Chepang Hill Trail,27.65,84.9,Chitwan,6.0,10.0,0.0,8.0,5.0,10,10,3,55.0,60.0,65.0,Medium,100.0
Chepang Hills Route,27.7,84.95,Chitwan,8.0,12.0,3.0,10.0,7.0,15,10,3,60.0,70.0,72.0,High,100.0
Chepang Hills Trail,27.7,84.95,Chitwan,8.0,12.0,3.0,10.0,7.0,15,10,3,60.0,70.0,72.0,High,100.0
Chitwan Bishazari Lake,27.6,84.42,Chitwan,2.0,0.0,0.0,10.0,3.0,20,15,5,30.0,40.0,35.0,Medium,100.0
Chitwan Elephant Breeding Center,27.58,84.44,Chitwan,3.0,0.0,0.0,8.0,2.0,40,30,10,30.0,35.0,32.0,Low,100.0
Chitwan Hills Rural Trail,27.53,84.35,Chitwan,3.0,4.0,0.0,15.0,4.0,80,60,20,5.0,30.0,35.0,Low,100.0
Chitwan Jungle Safari,27.5291,84.3542,Chitwan,7.0,1.0,0.0,12.0,3.0,15,10,2,25.0,55.0,42.0,Medium,100.0
Chitwan Jungle Tower,27.6,84.45,Chitwan,3.0,0.0,0.0,12.0,2.0,15,12,3,45.0,50.0,48.0,Medium,100.0
Chitwan Jungle Walk,27.5291,84.3542,Chitwan,4.0,1.0,0.0,10.0,3.0,40,30,10,20.0,45.0,45.0,Medium,100.0
Chitwan National Park,27.5291,84.3542,Chitwan,8.0,2.0,0.0,10.0,4.0,89,28,0,0.0,50.0,30.0,Medium,100.0
Chitwan Sauraha,27.58,84.49,Chitwan,2.0,0.0,0.0,12.0,3.0,30,25,8,35.0,45.0,40.0,Medium,100.0
Elephant Breeding Center,27.58,84.48,Chitwan,2.0,1.0,0.0,8.0,2.0,15,10,3,20.0,35.0,29.0,Low,100.0
Elephant Breeding Centre,27.58,84.44,Chitwan,3.0,0.0,0.0,8.0,2.0,40,30,10,30.0,35.0,32.0,Low,100.0
Gharial Conservation Center,27.58,84.47,Chitwan,1.0,0.0,0.0,7.0,1.0,12,9,2,25.0,25.0,25.0,Low,100.0
Ichchhakamana Village,27.7,84.85,Chitwan,5.0,9.0,2.0,12.0,6.0,30,25,10,40.0,60.0,65.0,High,100.0
Kasara Buffer Zone,27.53,84.35,Chitwan,4.0,0.0,0.0,10.0,2.0,15,10,3,50.0,45.0,48.0,Medium,100.0
Kasara Tiger Camp,27.53,84.35,Chitwan,4.0,0.0,0.0,12.0,2.0,15,10,3,55.0,60.0,58.0,Medium,100.0
Kasara Wildlife Area,27.53,84.35,Chitwan,5.0,1.0,0.0,12.0,3.0,30,25,10,25.0,50.0,52.0,Medium,100.0
Kaule Rural Area,27.65,84.85,Chitwan,3.0,6.0,0.0,10.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Madi River Camp,27.7,84.6,Chitwan,4.0,0.0,0.0,14.0,3.0,8,6,2,60.0,55.0,58.0,Medium,100.0
Madi Rural Tourism Route,27.35,84.35,Chitwan,4.0,5.0,0.0,20.0,4.0,70,50,15,10.0,35.0,40.0,Medium,100.0
Meghauli Tourism Area,27.58,84.2,Chitwan,3.0,1.0,0.0,15.0,3.0,50,40,15,10.0,45.0,45.0,Medium,100.0
Muglin River Area,27.85,84.6,Chitwan,5.0,8.0,0.0,15.0,5.0,40,30,10,35.0,60.0,60.0,Medium,100.0
Muglin River Route,27.85,84.55,Chitwan,7.0,1.0,0.0,18.0,4.0,5,4,1,90.0,75.0,84.0,High,100.0
Muglin River Side,27.85,84.55,Chitwan,5.0,3.0,0.0,12.0,3.0,10,8,2,35.0,60.0,45.0,Medium,100.0
Patihani Village,27.6,84.45,Chitwan,2.0,1.0,0.0,12.0,3.0,60,50,20,10.0,35.0,38.0,Medium,100.0
Rapti River Chitwan,27.58,84.5,Chitwan,4.0,0.0,0.0,15.0,2.0,10,8,2,55.0,60.0,58.0,Medium,100.0
Rapti River Safari,27.58,84.5,Chitwan,4.0,0.0,0.0,18.0,2.0,20,15,5,60.0,70.0,65.0,High,100.0
Sauraha Elephant Breeding Center,27.58,84.5,Chitwan,2.0,1.0,0.0,8.0,2.0,12,10,3,25.0,35.0,29.0,Low,100.0
Sauraha Elephant Safari,27.58,84.49,Chitwan,3.0,0.0,0.0,8.0,2.0,25,20,5,25.0,30.0,27.0,Low,100.0
Sauraha Jungle Safari,27.58,84.5,Chitwan,5.0,0.0,0.0,12.0,3.0,35,25,8,45.0,50.0,48.0,Medium,100.0
Sauraha Tourism Area,27.58,84.5,Chitwan,2.0,0.0,0.0,8.0,2.0,20,15,5,20.0,25.0,22.0,Low,100.0
Sauraha Village,27.58,84.49,Chitwan,2.0,1.0,0.0,15.0,3.0,80,60,20,5.0,50.0,40.0,Medium,100.0
Siraichuli Peak,27.65,84.85,Chitwan,7.0,12.0,0.0,5.0,6.0,5,5,2,70.0,65.0,70.0,High,100.0
Siraichuli Rural Route,27.75,84.95,Chitwan,7.0,11.0,3.0,8.0,6.0,20,15,5,50.0,65.0,68.0,High,100.0
Siraichuli Rural Trail,27.75,84.95,Chitwan,7.0,11.0,3.0,8.0,6.0,20,15,5,50.0,65.0,68.0,High,100.0
Upardang Gadhi Trail,27.65,84.9,Chitwan,4.0,7.0,0.0,9.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Ajaymeru Kot,29.35,80.45,Dadeldhura,3.0,6.0,0.0,5.0,6.0,30,25,10,35.0,45.0,50.0,Medium,100.0
Ajaymeru Rural Camp,29.45,80.55,Dadeldhura,5.0,8.0,0.0,6.0,6.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Ajaymeru Rural Route,29.4,80.55,Dadeldhura,5.0,8.0,0.0,6.0,6.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Ajaymeru Rural Trail,29.45,80.55,Dadeldhura,5.0,8.0,0.0,6.0,6.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Amargadhi Fort,29.3,80.58,Dadeldhura,1.0,2.0,0.0,3.0,4.0,40,30,10,10.0,20.0,25.0,Low,100.0
Amargadhi Rural View,29.3,80.6,Dadeldhura,2.0,4.0,0.0,5.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Amargadhi Village Route,29.3,80.58,Dadeldhura,3.0,5.0,0.0,5.0,4.0,60,50,20,10.0,25.0,30.0,Low,100.0
Dadeldhura Ajaymeru,29.3,80.55,Dadeldhura,3.0,5.0,0.0,4.0,5.0,25,20,5,30.0,45.0,50.0,Medium,100.0
Dadeldhura Ajaymeru Trail,29.3,80.55,Dadeldhura,3.0,5.0,0.0,7.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Dadeldhura Amargadhi,29.3,80.58,Dadeldhura,1.0,3.0,0.0,6.0,4.0,60,50,20,5.0,25.0,30.0,Low,100.0
Dadeldhura Ganyapdhura Trail,29.35,80.5,Dadeldhura,3.0,5.0,0.0,7.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Dadeldhura Hill Route,29.3,80.58,Dadeldhura,2.0,4.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Dadeldhura Hill Village,29.3,80.58,Dadeldhura,2.0,4.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Dadeldhura Rural Hill,29.3,80.58,Dadeldhura,2.0,4.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Dadeldhura View Point,29.3,80.58,Dadeldhura,2.0,5.0,0.0,4.0,5.0,6,5,1,50.0,45.0,47.0,Medium,100.0
Dadeldhura View Tower,29.3,80.58,Dadeldhura,1.0,3.0,0.0,4.0,5.0,25,20,5,30.0,35.0,32.0,Low,100.0
Gokuleshwar Area,29.5,80.5,Dadeldhura,3.0,7.0,1.0,3.0,6.0,3,3,1,65.0,60.0,62.0,Medium,100.0
